SIREN,NIC,L1_NORMALISEE,L2_NORMALISEE,L3_NORMALISEE,L4_NORMALISEE,L5_NORMALISEE,L6_NORMALISEE,L7_NORMALISEE,L1_DECLAREE,L2_DECLAREE,L3_DECLAREE,L4_DECLAREE,L5_DECLAREE,L6_DECLAREE,L7_DECLAREE,NUMVOIE,INDREP,TYPVOIE,LIBVOIE,CODPOS,CEDEX,DEPET,COMET,TCD,SIEGE,ENSEIGNE,IND_PUBLIPO,DIFFCOM,AMINTRET,NATETAB,APET700,DAPET,TEFET,EFETCENT,DEFET,ORIGINE,DCRET,DDEBACT,ACTIVNAT,LIEUACT,ACTISURF,SAISONAT,MODET,PRODET,PRODPART,AUXILT,NOMEN_LONG,SIGLE,NOM,PRENOM,CIVILITE,RNA,NICSIEGE,RPEN,DEPCOMEN,ADR_MAIL,NJ,APEN700,DAPEN,APRM,ESS,DATEESS,TEFEN,EFENCENT,DEFEN,CATEGORIE,DCREN,AMINTREN,MONOACT,MODEN,PRODEN,ESAANN,TCA,ESAAPEN,ESASEC1N,ESASEC2N,ESASEC3N,ESASEC4N,VMAJ,VMAJ1,VMAJ2,VMAJ3,DATEMAJ,longitude,latitude,geo_score,geo_type,geo_adresse,geo_id,geo_ligne
216902528,00019,COMMUNE DE TREVES,MAIRIE,,ALLEE DE LA MAIRIE,,69420 TREVES,FRANCE,COMMUNE DE TREVES,MAIRIE,HOTEL DE VILLE,,,69420 TREVES,,,,,,69420,,69,252,12,1,MAIRIE,1,O,201209,,8411Z,2008,03,6,2015,1,19830301,19830301,NR,99,,P,S,N,,0,COMMUNE DE TREVES,,,,,,00019,84,69252,,7210,8411Z,2008,,,,11,10,2015,PME,19830301,201209,3,S,N,,,,,,,,,,,,1983-03-01T00:00:00,4.674727,45.539844,0.91,street,Allée de la Mairie 69420 Trèves,69252_XXXX_8e1981,N
216902528,00027,COMMUNE DE TREVES,ECOLE PRIMAIRE PUBLIQUE,,ROUTE DES 2 VALLEES,,69420 TREVES,FRANCE,COMMUNE DE TREVES,ECOLE PRIMAIRE PUBLIQUE,,RTE DES 2 VALLEES,,69420 TREVES,,,,RTE,DES 2 VALLEES,69420,,69,252,12,0,ECOLE PRIMAIRE PUBLIQUE,1,O,201209,,8520Z,2008,02,3,2015,1,19831221,19831221,NR,99,,P,S,N,,0,COMMUNE DE TREVES,,,,,,00019,84,69252,,7210,8411Z,2008,,,,11,10,2015,PME,19830301,201209,3,S,N,,,,,,,,,,,,2007-10-13T00:00:00,4.67587,45.539788,0.49,street,Route des Deux Vallées 69420 Trèves,69252_XXXX_0da9aa,G
216902528,00035,COMMUNE DE TREVES,SERVICE ASSAINISSEMENT,,ALLEE DE LA MAIRIE,,69420 TREVES,FRANCE,COMMUNE DE TREVES,SERVICE ASSAINISSEMENT,MAIRIE,,,69420 TREVES,,,,,,69420,,69,252,12,0,SERVICE ASSAINISSEMENT,0,O,201209,,3700Z,2008,NN,NN,,1,19970101,19970101,NR,99,,P,S,N,,0,COMMUNE DE TREVES,,,,,,00019,84,69252,,7210,8411Z,2008,,,,11,10,2015,PME,19830301,201209,3,S,N,,,,,,,,,,,,1997-01-15T00:00:00,4.674727,45.539844,0.91,street,Allée de la Mairie 69420 Trèves,69252_XXXX_8e1981,N
216902528,00043,COMMUNE DE TREVES,LOTISSEMENT,,ALLEE DE LA MAIRIE,,69420 TREVES,FRANCE,COMMUNE DE TREVES,LOTISSEMENT,MAIRIE,,,69420 TREVES,,,,,,69420,,69,252,12,0,LOTISSEMENT,0,O,201209,,4299Z,2008,NN,NN,,1,19990923,19990923,NR,99,,P,S,N,,0,COMMUNE DE TREVES,,,,,,00019,84,69252,,7210,8411Z,2008,,,,11,10,2015,PME,19830301,201209,3,S,N,,,,,,,,,,,,1999-10-06T00:00:00,4.674727,45.539844,0.91,street,Allée de la Mairie 69420 Trèves,69252_XXXX_8e1981,N
266911445,00010,CENTRE COMMUNAL ACTION SOCIALE,,,ALLEE DE LA MAIRIE,,69420 TREVES,FRANCE,CENTRE COMMUNAL ACTION SOCIALE,,MAIRIE,,,69420 TREVES,,,,,,69420,,69,252,12,1,,1,O,201209,,8899B,2008,NN,NN,,1,20010101,20010101,NR,99,,P,S,N,,0,CENTRE COMMUNAL ACTION SOCIALE,,,,,,00010,84,69252,,7361,8899B,2008,,,,NN,NN,,,20010101,201209,1,S,N,,,,,,,,,,,,2004-05-14T00:00:00,4.674727,45.539844,0.91,street,Allée de la Mairie 69420 Trèves,69252_XXXX_8e1981,N
313439226,00017,MONSIEUR ANDRE COMBARMOND,BOURG,,LE FAUTRE,,69420 TREVES,FRANCE,MONSIEUR ANDRE COMBARMOND,,,LD AU BOURG,,69420 TREVES,,,,LD,AU BOURG,69420,,69,252,12,1,,0,O,201209,9,6820B,2008,00,0,2004,1,19890101,19890101,NR,99,,P,S,N,,0,COMBARMOND*ANDRE/,,COMBARMOND,ANDRE,1,,00017,84,69252,,,6820B,2008,,,,00,0,2004,PME,19890101,201209,1,S,N,,,,,,,,,,,,1990-04-23T00:00:00,4.695672,45.52388,0.91,street,Le Fautre 69420 Trèves,69252_B018_554341,N
315081448,00013,ASSOCIATION DES QUATRE VENTS,,,,,69420 TREVES,FRANCE,ASSOCIATION DES QUATRE VENTS,,,,,69420 TREVES,,,,,,69420,,69,252,12,1,,1,O,201209,,9312Z,2008,00,0,2015,1,19790101,19790101,NR,99,,P,S,N,,0,ASSOCIATION DES QUATRE VENTS,,,,,,00013,84,69252,,9220,9312Z,2008,,O,20160101,00,0,2015,PME,19790101,201209,1,S,N,,,,,,,,,,,,2015-10-01T00:00:00,4.689021,45.53461,0,municipality,,69252,
323012112,00021,MADAME BERNADETTE BOUTEILLE,LE COLOMBET,,1093 CHEMIN DE L EPINE,,69420 TREVES,FRANCE,MADAME BERNADETTE BOUTEILLE,,1093 CHEMIN DE L'EPINE,LE COLOMBET,,69420 TREVES,,1093,,,LE COLOMBET,69420,,69,252,12,1,,1,O,201209,2,4618Z,2008,00,0,2004,1,20010302,20010302,NR,99,,P,S,O, ,0,MORRETTON*BOUTEILLE/BERNADETTE MARIE/,,MORRETTON,BERNADETTE,2,,00021,84,69252,,,4618Z,2008,,,,00,0,2004,PME,19811018,201209,1,S,O,,,,,,,,,,,,2017-08-29T08:44:35,4.709645,45.524882,0.91,housenumber,1093 Le Colombet 69420 Trèves,ADRNIVX_0000000311294071,G
327127742,00077,DELTA EQUIPEMENT,START,,714 ROUTE DES 2 VALLEES,,69420 TREVES,FRANCE,DELTA EQUIPEMENT,START,,714 RTE DES DEUX VALLEES,,69420 TREVES,,714,,RTE,DES DEUX VALLEES,69420,,69,252,12,0,START,1,O,201209,,7112B,2008,03,6,2015,1,20000101,20000101,NR,99,,P,S,O, ,0,DELTA EQUIPEMENT,,,,,,00085,11,94002,,5710,7112B,2008,,,,12,20,2015,PME,19831108,201209,1,S,O,,,,,,,,,,,,2017-02-06T10:43:56,4.674225,45.540686,0.77,housenumber,714 Route des Deux Vallées 69420 Trèves,ADRNIVX_0000000311293967,G
339561920,00036,MONSIEUR FREDERIC PETITJEAN,,,LE BUREL,,69420 TREVES,FRANCE,MONSIEUR FREDERIC PETITJEAN,,,LD LE BUREL,,69420 TREVES,,,,LD,LE BUREL,69420,,69,252,12,1,,1,O,201209,3,4941A,2008,01,1,2015,9,19920501,19920501,07,93,,P,S,O,,0,PETITJEAN*FREDERIC/,,PETITJEAN,FREDERIC,1,,00036,84,69252,,,4941A,2008,,,,01,1,2015,PME,19861208,201209,1,S,O,,,,,,,,,,,,2006-06-27T00:00:00,4.670828,45.545016,0.91,street,Le Burel 69420 Trèves,69252_B006_343d41,G
