SIREN,NIC,L1_NORMALISEE,L2_NORMALISEE,L3_NORMALISEE,L4_NORMALISEE,L5_NORMALISEE,L6_NORMALISEE,L7_NORMALISEE,L1_DECLAREE,L2_DECLAREE,L3_DECLAREE,L4_DECLAREE,L5_DECLAREE,L6_DECLAREE,L7_DECLAREE,NUMVOIE,INDREP,TYPVOIE,LIBVOIE,CODPOS,CEDEX,DEPET,COMET,TCD,SIEGE,ENSEIGNE,IND_PUBLIPO,DIFFCOM,AMINTRET,NATETAB,APET700,DAPET,TEFET,EFETCENT,DEFET,ORIGINE,DCRET,DDEBACT,ACTIVNAT,LIEUACT,ACTISURF,SAISONAT,MODET,PRODET,PRODPART,AUXILT,NOMEN_LONG,SIGLE,NOM,PRENOM,CIVILITE,RNA,NICSIEGE,RPEN,DEPCOMEN,ADR_MAIL,NJ,APEN700,DAPEN,APRM,ESS,DATEESS,TEFEN,EFENCENT,DEFEN,CATEGORIE,DCREN,AMINTREN,MONOACT,MODEN,PRODEN,ESAANN,TCA,ESAAPEN,ESASEC1N,ESASEC2N,ESASEC3N,ESASEC4N,VMAJ,VMAJ1,VMAJ2,VMAJ3,DATEMAJ,longitude,latitude,geo_score,geo_type,geo_adresse,geo_id,geo_ligne
213801608,00018,COMMUNE D EYZIN PINET,MAIRIE,,PLACE DE LA MAIRIE,,38780 EYZIN PINET,FRANCE,COMMUNE D EYZIN PINET,MAIRIE,HOTEL DE VILLE,,,38780 EYZIN PINET,,,,,,38780,,38,160,15,1,MAIRIE,1,O,201209,,8411Z,2008,11,10,2015,1,19830301,19830301,NR,99,,P,S,N,,0,COMMUNE D EYZIN PINET,,,,,,00018,84,38160,,7210,8411Z,2008,,,,12,20,2015,PME,19820101,201209,3,S,N,,,,,,,,,,,,1983-03-01T00:00:00,4.997485,45.474103,0.91,street,Place de la Mairie 38780 Eyzin-Pinet,38160_XXXX_753cd9,N
213801608,00026,COMMUNE D EYZIN PINET,ECOLE PRIMAIRE PUBLIQUE,,,,38780 EYZIN PINET,FRANCE,COMMUNE D EYZIN PINET,ECOLE PRIMAIRE PUBLIQUE,,,,38780 EYZIN PINET,,,,,,38780,,38,160,15,0,ECOLE PRIMAIRE PUBLIQUE,1,O,201209,,8520Z,2008,03,6,2015,1,19831221,19831221,NR,99,,P,S,N,,0,COMMUNE D EYZIN PINET,,,,,,00018,84,38160,,7210,8411Z,2008,,,,12,20,2015,PME,19820101,201209,3,S,N,,,,,,,,,,,,2007-10-13T00:00:00,4.99858,45.477953,0,municipality,,38160,
213801608,00042,COMMUNE D EYZIN PINET,ECOLE MATERNELLE PUBLIQUE,,,,38780 EYZIN PINET,FRANCE,COMMUNE D EYZIN PINET,ECOLE MATERNELLE PUBLIQUE,,,,38780 EYZIN PINET,,,,,,38780,,38,160,15,0,ECOLE MATERNELLE PUBLIQUE,1,O,201209,,8510Z,2008,02,3,2015,1,19820101,19820101,NR,99,,P,S,N,,0,COMMUNE D EYZIN PINET,,,,,,00018,84,38160,,7210,8411Z,2008,,,,12,20,2015,PME,19820101,201209,3,S,N,,,,,,,,,,,,2007-10-13T00:00:00,4.99858,45.477953,0,municipality,,38160,
263804791,00014,CENTRE COMMUNAL D ACTION SOCIALE,CCAS,,PLACE DE LA MAIRIE,,38780 EYZIN PINET,FRANCE,CENTRE COMMUNAL D'ACTION SOCIALE,CCAS,MAIRIE,,,38780 EYZIN PINET,,,,,,38780,,38,160,15,1,CCAS,1,O,201209,,8899B,2008,00,0,2001,1,19940101,19940101,NR,99,,P,S,N,,0,CENTRE COMMUNAL D'ACTION SOCIALE,CCAS,,,,,00014,84,38160,,7361,8899B,2008,,,,00,0,2001,,19940101,201209,1,S,N,,,,,,,,,,,,1995-03-08T00:00:00,4.997485,45.474103,0.91,street,Place de la Mairie 38780 Eyzin-Pinet,38160_XXXX_753cd9,N
300423191,00018,MONSIEUR RAYMOND ROSTAING,,,IMPASSE DE LA GARDE,,38780 EYZIN PINET,FRANCE,MONSIEUR RAYMOND ROSTAING,,,HAM DE LA GARDE,,38780 EYZIN PINET,,,,HAM,DE LA GARDE,38780,,38,160,15,1,,1,O,201209,6,0220Z,2008,00,0,2004,1,19730101,19730101,NR,99,,P,S,O,,0,ROSTAING*RAYMOND/,,ROSTAING,RAYMOND,1,,00018,84,38160,,,0220Z,2008,,,,00,0,2004,PME,19730101,201209,1,S,O,,,,,,,,,,,,2005-02-15T00:00:00,4.99852,45.487981,0.59,street,Mas de la Garde 38780 Eyzin-Pinet,38160_B050_e78f09,G
309134252,00035,SO FA NEC,,,ROUTE DU VIANNAIS,,38780 EYZIN PINET,FRANCE,SO FA NEC,,,LE VIANNAIS,,38780 EYZIN PINET,,,,,LE VIANNAIS,38780,,38,160,15,1,,1,O,201209,,4614Z,2013,01,1,2015,1,20071101,20071101,99,99,,P,S,O,,0,SO FA NEC,,,,,,00035,84,38160,,5499,4614Z,2013,,,,01,1,2015,PME,19770101,201209,1,S,O,,,,,,,,,,,,2013-04-16T00:00:00,4.968676,45.501503,0.91,street,Le Viannais 38780 Eyzin-Pinet,38160_B095_54554b,G
309433662,00017,SOC ARTIS DE CONST IMMO SACI,LE VILLAGE,,,,38780 EYZIN PINET,FRANCE,SOC ARTIS DE CONST IMMO.SACI,,,LE VILLAGE,,38780 EYZIN PINET,,,,,LE VILLAGE,38780,,38,160,15,1,,0,O,201209,,4110A,2008,00,0,2004,1,19000101,19000101,NR,99,,P,S,O,,0,SOC ARTIS DE CONST IMMO.SACI,,,,,,00017,84,38160,,6599,4110A,2008,,,,00,0,2004,PME,19000101,201209,1,S,O,,,,,,,,,,,,1989-06-01T00:00:00,4.999483,45.473498,0.46,street,Place du Village 38780 Eyzin-Pinet,38160_XXXX_eaac3d,G
311623029,00015,ENTREPR BAT TRAVAUX PUBLICS MILLET NIV,,,ZONE ARTISANALE DU VERNAIS,,38780 EYZIN PINET,FRANCE,ENTREPR BAT TRAVAUX PUBLICS MILLET-NIV,,,ZA LE VERNAIS,,38780 EYZIN PINET,,,,,ZA LE VERNAIS,38780,,38,160,15,1,,1,O,201209,,4120B,2008,12,20,2015,6,19630101,19630101,14,91,,P,S,O,,0,ENTREPR BAT TRAVAUX PUBLICS MILLET-NIVON,,,,,,00015,84,38160,,5499,4120B,2008,4312BA,,,12,20,2015,PME,19630101,201209,1,S,O,,,,,,,,,,,,2016-11-02T00:00:00,4.99858,45.477953,0,municipality,,38160,
314250796,00047,MONSIEUR HERVE ALMANINI,SDF ALMANINI DALENS LE VILLAGE,,,,38780 EYZIN PINET,FRANCE,MONSIEUR HERVE ALMANINI,,SDF ALMANINI DALENS,LE VILLAGE,,38780 EYZIN PINET,,,,,LE VILLAGE,38780,,38,160,15,0,,1,O,201209,5,8690E,2008,00,0,2004,1,19980308,19980308,NR,99,,P,S,O,,0,ALMANINI*HERVE/,,ALMANINI,HERVE,1,,00039,84,38544,,,8690E,2008,,,,00,0,2004,PME,19780101,201209,1,S,O,,,,,,,,,,,,1999-03-23T00:00:00,4.999483,45.473498,0.46,street,Place du Village 38780 Eyzin-Pinet,38160_XXXX_eaac3d,G
318481355,00036,MADAME DANIELLE BARDIN,,,208 MONTEE DU THIBAUD,,38780 EYZIN PINET,FRANCE,MADAME DANIELLE BARDIN,,,208 MTE DU THIBAUD,,38780 EYZIN PINET,,208,,MTE,DU THIBAUD,38780,,38,160,15,1,,1,O,201502,2,4799A,2014,00,NN,2014,1,20141006,20141006,,,,P,S,O,,0,JARJAT*BARDIN/DANIELLE/,,JARJAT,DANIELLE,2,,00036,84,38160,,,4799A,2014,,,,00,NN,2014,PME,19800101,201502,1,S,O,,,,,,,,,,,,2015-02-24T00:00:00,5.032625,45.470307,0.42,housenumber,208 Chez Thibaud 38780 Eyzin-Pinet,ADRNIVX_0000000329605500,G
319881801,00017,GAEC LES PRUNIERS,,,,,38780 EYZIN PINET,FRANCE,GAEC LES PRUNIERS,,,,,38780 EYZIN PINET,,,,,,38780,,38,160,15,1,,1,O,201209,,0111Z,2008,00,0,2004,1,19800412,19800412,NR,99,,P,S,O,,0,GAEC LES PRUNIERS,,,,,,00017,84,38160,,6533,0111Z,2008,,,,00,0,2004,,19800412,201209,1,S,O,,,,,,,,,,,,1993-08-23T00:00:00,4.99858,45.477953,0,municipality,,38160,
321995367,00075,ITW SPRAYTEC,,,ZONE ARTISANALE DU VERNAIS,,38780 EYZIN PINET,FRANCE,ITW SPRAYTEC,,,ZA DU VERNAIS,,38780 EYZIN PINET,,,,,ZA DU VERNAIS,38780,,38,160,15,0,,1,O,201209,,2030Z,2008,02,3,2015,9,20080603,20080603,12,07,,P,S,O,,0,ITW SPRAYTEC,,,,,,00083,11,92004,,5720,2059Z,2008,,,,21,50,2015,ETI,19810615,201209,2,S,O,,,,,,,,,,,,2008-07-23T00:00:00,4.99858,45.477953,0,municipality,,38160,
323497396,00016,MONSIEUR FRANCOIS MOUTERDE,,,,,38780 EYZIN PINET,FRANCE,MONSIEUR FRANCOIS MOUTERDE,,,,,38780 EYZIN PINET,,,,,,38780,,38,160,15,1,,1,O,201209,6,0141Z,2008,01,1,2015,1,19820101,19820101,NR,99,,P,S,O,,0,MOUTERDE*FRANCOIS/,,MOUTERDE,FRANCOIS,1,,00016,84,38160,,,0141Z,2008,,,,01,1,2015,,19820101,201209,1,S,O,,,,,,,,,,,,2013-11-24T00:00:00,4.99858,45.477953,0,municipality,,38160,
323879270,00011,MONSIEUR JEAN PLANTIER,,,IMPASSE DES MARTINIERES,,38780 EYZIN PINET,FRANCE,MONSIEUR JEAN PLANTIER,,,LES MARTINIERES,,38780 EYZIN PINET,,,,,LES MARTINIERES,38780,,38,160,15,1,,1,O,201209,6,0111Z,2008,00,0,2004,1,19810101,19810101,NR,99,,P,S,O,,0,PLANTIER*JEAN PAUL/,,PLANTIER,JEAN,1,,00011,84,38160,,,0111Z,2008,,,,00,0,2004,,19810101,201209,1,S,O,,,,,,,,,,,,2007-05-26T00:00:00,4.983605,45.464,0.91,street,Les Martinières 38780 Eyzin-Pinet,38160_B049_2f70c9,G
323879304,00018,MONSIEUR JEAN BURLET,,,LE CIVAS,,38780 EYZIN PINET,FRANCE,MONSIEUR JEAN BURLET,,,LE CIVAS,,38780 EYZIN PINET,,,,,LE CIVAS,38780,,38,160,15,1,,1,O,201209,6,0111Z,2008,00,0,2004,,19810101,19810101,NR,99,,P,S,O,,0,BURLET*JEAN BAPTISTE/,,BURLET,JEAN,1,,00018,84,38160,,,0111Z,2008,,,,00,0,2004,,19810101,201209,1,S,O,,,,,,,,,,,,1996-02-07T00:00:00,4.9752,45.47179,0.91,street,Le Civas 38780 Eyzin-Pinet,38160_B031_fd699b,G
324219807,00041,MONSIEUR NOEL MALIAN,,,IMPASSE DU MOULIN DE LA GARDE,,38780 EYZIN PINET,FRANCE,MONSIEUR NOEL MALIAN,,MOULIN DE LA GARDE,,,38780 EYZIN PINET,,,,,,38780,,38,160,15,1,,1,O,201209,3,4321A,2009,01,NN,2009,NR,20090811,20090811,,,,P,S,O,,0,MALIAN*NOEL/,,MALIAN,NOEL,1,,00041,84,38160,,,4321A,2008,,,,01,NN,2009,PME,19820330,201209,1,S,O,,,,,,,,,,,,2009-08-11T00:00:00,4.994433,45.482725,0.6,street,LE MOULIN DE LA GARDE 38780 Eyzin-Pinet,38160_XXXX_ac626e,N
326350485,00016,MADAME LUCIE BARDIN,LE VILLAGE,,,,38780 EYZIN PINET,FRANCE,MADAME LUCIE BARDIN,,,LE VILLAGE,,38780 EYZIN PINET,,,,,LE VILLAGE,38780,,38,160,15,1,,0,O,201209,9,6820B,2008,00,0,2004,1,19830101,19961001,NR,99,,P,S,N,,0,MARTIN*BARDIN/LUCIE/,,MARTIN,LUCIE,2,,00016,84,38160,,,6820B,2008,,,,00,0,2004,PME,19830101,201209,1,S,N,,,,,,,,,,,,1996-12-18T00:00:00,4.999483,45.473498,0.46,street,Place du Village 38780 Eyzin-Pinet,38160_XXXX_eaac3d,G
326471281,00013,MONSIEUR BERNARD RIGOLLIER,,,ROUTE DU BURON,BP 7,38780 EYZIN PINET,FRANCE,MONSIEUR BERNARD RIGOLLIER,,,LD LE BURON,BP 7,38780 EYZIN PINET,,,,LD,LE BURON,38780,,38,160,15,1,,1,O,201209,6,0111Z,2008,00,0,2004,1,19830101,19830101,,,,P,S,O,,0,RIGOLLIER*BERNARD/,,RIGOLLIER,BERNARD,1,,00013,84,38160,,,0111Z,2008,,,,00,0,2004,,19830101,201209,1,S,O,,,,,,,,,,,,2007-05-26T00:00:00,4.973199,45.478811,0.91,street,Le Buron 38780 Eyzin-Pinet,38160_B014_222b6e,G
337863450,00025,MONSIEUR JEAN YVES LABARGE,,,PINET,,38780 EYZIN PINET,FRANCE,MONSIEUR JEAN-YVES LABARGE,,,HAM DE PINET,,38780 EYZIN PINET,,,,HAM,DE PINET,38780,,38,160,15,1,,1,O,201209,3,2370Z,2008,00,0,2004,1,19881201,19881201,NR,99,,P,S,O,,0,LABARGE*JEAN-YVES/,,LABARGE,JEAN-YVES,1,,00025,84,38160,,,2370Z,2008,2370ZZ,,,00,0,2004,PME,19860423,201209,1,S,O,,,,,,,,,,,,1995-03-02T00:00:00,5.005577,45.45885,0.49,street,Tour de Pinet 38780 Eyzin-Pinet,38160_B091_c89bee,G
338480775,00018,CLUB GYMNASTIQUE VOLONTAIRE EYZIN PINE,MAIRIE D EYZIN,,PINET,,38780 EYZIN PINET,FRANCE,CLUB GYMNASTIQUE VOLONTAIRE EYZIN-PINE,,,MAIRIE D'EYZIN-PINET,,38780 EYZIN PINET,,,,,MAIRIE D'EYZIN-PINET,38780,,38,160,15,1,,1,O,201209,,9312Z,2008,00,0,2015,1,19811020,19811020,NR,99,,P,S,N,,0,CLUB GYMNASTIQUE VOLONTAIRE EYZIN-PINET,EPGV,,,,W383000855,00018,84,38160,,9220,9312Z,2008,,O,20160101,00,0,2015,PME,19811020,201209,1,S,N,,,,,,,,,,,,1998-08-13T00:00:00,4.997485,45.474103,0.55,street,Place de la Mairie 38780 Eyzin-Pinet,38160_XXXX_753cd9,G
338746605,00066,MONSIEUR YOUCEF SADI,CENTRE EQUESTRE LA CLOCHETIERE,LE BURON,755 ROUTE DU MICHALET,,38780 EYZIN PINET,FRANCE,MONSIEUR YOUCEF SADI,CENTRE EQUESTRE LA CLOCHETIERE,LE BURON,755 RTE DU MICHALET,,38780 EYZIN PINET,,755,,RTE,DU MICHALET,38780,,38,160,15,1,CENTRE EQUESTRE LA CLOCHETIERE,1,O,201209,6,0143Z,2008,00,0,2014,B,20031105,20080101,,,,P,S,O,,0,SADI*YOUCEF/,,SADI,YOUCEF,1,,00066,84,38160,,,0143Z,2008,,,,00,0,2014,,19860909,201209,1,S,O,,,,,,,,,,,,2016-06-30T00:00:00,4.977616,45.477868,0.74,housenumber,755 Route du Michalet 38780 Eyzin-Pinet,ADRNIVX_0000002004088483,G
339833535,00018,MONSIEUR BRUNO SENEZ,,,,,38780 EYZIN PINET,FRANCE,MONSIEUR BRUNO SENEZ,,,,,38780 EYZIN PINET,,,,,,38780,,38,160,15,1,,1,O,201209,5,8621Z,2008,00,0,2004,1,19861110,19861110,NR,99,,P,S,O,,0,SENEZ*BRUNO PIERRE MAURICE/,,SENEZ,BRUNO,1,,00018,84,38160,,,8621Z,2008,,,,00,0,2004,PME,19861110,201209,1,S,O,,,,,,,,,,,,1997-10-13T00:00:00,4.99858,45.477953,0,municipality,,38160,
340037753,00019,CLUB DE DANSE D EYZIN PINET,,,PLACE DE LA MAIRIE,,38780 EYZIN PINET,FRANCE,CLUB DE DANSE D EYZIN PINET,,,MAIRIE,,38780 EYZIN PINET,,,,,MAIRIE,38780,,38,160,15,1,,1,O,201209,,9329Z,2008,00,0,2004,1,19861103,19861103,NR,99,,P,S,N,,0,CLUB DE DANSE D EYZIN PINET,,,,,,00019,84,38160,,9220,9329Z,2008,,O,20160101,00,0,2004,,19861103,201209,1,S,N,,,,,,,,,,,,2003-09-24T00:00:00,4.997485,45.474103,0.91,street,Place de la Mairie 38780 Eyzin-Pinet,38160_XXXX_753cd9,N
342499506,00018,MONSIEUR ALAIN GAMET,LE CHAMBOUD,,79 ROUTE DE SAINT SORLIN,,38780 EYZIN PINET,FRANCE,MONSIEUR ALAIN GAMET,,LE CHAMBOUD,79 RTE DE SAINT SORLIN,,38780 EYZIN PINET,,79,,RTE,DE SAINT SORLIN,38780,,38,160,15,1,,1,O,201209,3,4312A,2008,00,0,2004,NR,19871001,20141001,14,91,,P,S,O,,0,GAMET*ALAIN JEAN-CLAUDE/,,GAMET,ALAIN,1,,00018,84,38160,,,4312A,2008,,,,00,0,2004,PME,19871001,201209,1,S,O,,,,,,,,,,,,2014-10-24T00:00:00,4.960886,45.480092,0.76,housenumber,79 Route de Saint-Sorlin 38780 Eyzin-Pinet,ADRNIVX_0000000326411998,G
343547634,00026,SCI GUIDICELLE,LDT LES GREZ,,,,38780 EYZIN PINET,FRANCE,SCI GUIDICELLE,,,LDT LES GREZ,,38780 EYZIN PINET,,,,,LDT LES GREZ,38780,,38,160,15,1,,0,O,201209,,6820A,2007,00,NN,2007,NR,20070924,20070924,,,,P,S,N,,0,SCI GUIDICELLE,,,,,,00026,84,38160,,6540,6820A,2008,,,,00,0,2004,,19880113,201209,1,S,N,,,,,,,,,,,,2008-01-22T00:00:00,4.99858,45.477953,0,municipality,,38160,
344637772,00064,CTRE INFO RECHERCHE INNOVATION SCIENTI,,LES ORCHIDEES,RUE DU STADE,,38780 EYZIN PINET,FRANCE,CTRE INFO RECHERCHE INNOVATION SCIENTI,,LES ORCHIDEES,RTE DU STADE,,38780 EYZIN PINET,,,,RTE,DU STADE,38780,,38,160,15,0,,1,O,201209,,7219Z,2008,00,NN,2007,1,20070421,20070421,,,,P,S,N,,0,CTRE INFO RECHERCHE INNOVATION SCIENTIFI,CIRIS,,,,,00056,84,38544,,9220,7219Z,2008,,O,20160101,00,0,2004,PME,19861124,201209,1,S,N,,,,,,,,,,,,2007-08-30T00:00:00,4.998998,45.475218,0.63,street,Rue du Stade 38780 Eyzin-Pinet,38160_0240_9f8bc1,G
349604546,00029,MADAME GEORGELINE REYMOND,LE VILLAGE,,,,38780 EYZIN PINET,FRANCE,MADAME GEORGELINE REYMOND,,,LE VILLAGE,,38780 EYZIN PINET,,,,,LE VILLAGE,38780,,38,160,15,1,,1,O,201209,2,5630Z,2011,00,NN,2011,3,20110407,20110407,10,05,,P,S,O,,0,BALLERAND*REYMOND/GEORGELINE/,,BALLERAND,GEORGELINE,2,,00029,84,38160,,,5630Z,2011,,,,00,0,2004,PME,19890115,201209,1,S,O,,,,,,,,,,,,2011-12-07T00:00:00,4.999483,45.473498,0.46,street,Place du Village 38780 Eyzin-Pinet,38160_XXXX_eaac3d,G
349889493,00020,MONSIEUR BERNARD THOMAS,TATOU MECA,,172 RUE DU STADE,,38780 EYZIN PINET,FRANCE,MONSIEUR BERNARD THOMAS,TATOU MECA,,172 RTE DU STADE,,38780 EYZIN PINET,,172,,RTE,DU STADE,38780,,38,160,15,1,,1,O,201309,3,4520A,2013,00,NN,2013,1,20131001,20131001,06,99,,P,S,O,,0,THOMAS*BERNARD FRANCOIS/,,THOMAS,BERNARD,1,,00020,84,38160,,,4520A,2013,,,,00,NN,2013,PME,19890301,201309,1,S,O,,,,,,,,,,,,2013-09-20T00:00:00,4.998998,45.475218,0.7,housenumber,172 Rue du Stade 38780 Eyzin-Pinet,ADRNIVX_0000000348587905,G
351624861,00040,MONSIEUR CHRISTOPHE BELIN,LE VILLAGE,,,,38780 EYZIN PINET,FRANCE,MONSIEUR CHRISTOPHE BELIN,,,LE VILLAGE,,38780 EYZIN PINET,,,,,LE VILLAGE,38780,,38,160,15,1,,0,O,201209,9,6820B,2008,00,0,2004,3,19971115,19971115,NR,99,,P,S,N,,0,BELIN*CHRISTOPHE/,,BELIN,CHRISTOPHE,1,,00040,84,38160,,,6820B,2008,,,,00,0,2004,PME,19890607,201209,1,S,N,,,,,,,,,,,,2001-10-05T00:00:00,4.999483,45.473498,0.46,street,Place du Village 38780 Eyzin-Pinet,38160_XXXX_eaac3d,G
352727242,00039,MADAME JULIETTE LAZAR,CABINET DENTAIRE,,16 PLACE DE LA MAIRIE,,38780 EYZIN PINET,FRANCE,MADAME JULIETTE LAZAR,CABINET DENTAIRE,,16 PL DE LA MAIRIE,,38780 EYZIN PINET,,16,,PL,DE LA MAIRIE,38780,,38,160,15,1,,1,O,201710,5,8623Z,2017,01,NN,2017,1,20170901,20170901,,,,P,S,O, ,0,LAZAR*JULIETTE/,,LAZAR,JULIETTE,2,,00039,84,38160,,,8623Z,2008,,,,02,3,2015,PME,19890626,201209,1,S,O,,,,,,,,,,,,2017-10-05T08:44:27,4.997842,45.473802,0.7,housenumber,16 Place de la Mairie 38780 Eyzin-Pinet,ADRNIVX_0000000329604857,G
353726425,00021,SCI L OASIS,,,1461 ROUTE DU PLAN,,38780 EYZIN PINET,FRANCE,SCI L OASIS,,,1461 RTE DU PLAN,,38780 EYZIN PINET,,1461,,RTE,DU PLAN,38780,,38,160,15,1,,0,O,201603,,6820B,2015,00,NN,2015,NR,20151209,20151209,,,,P,S,N,,0,SCI L OASIS,,,,,,00021,84,38160,,6540,6820B,2008,,,,00,0,2004,,19900202,201209,1,S,N,,,,,,,,,,,,2016-03-31T00:00:00,5.024564,45.483663,0.71,housenumber,1461 Route du Plan 38780 Eyzin-Pinet,ADRNIVX_0000000329605473,G
