SIREN,NIC,L1_NORMALISEE,L2_NORMALISEE,L3_NORMALISEE,L4_NORMALISEE,L5_NORMALISEE,L6_NORMALISEE,L7_NORMALISEE,L1_DECLAREE,L2_DECLAREE,L3_DECLAREE,L4_DECLAREE,L5_DECLAREE,L6_DECLAREE,L7_DECLAREE,NUMVOIE,INDREP,TYPVOIE,LIBVOIE,CODPOS,CEDEX,DEPET,COMET,TCD,SIEGE,ENSEIGNE,IND_PUBLIPO,DIFFCOM,AMINTRET,NATETAB,APET700,DAPET,TEFET,EFETCENT,DEFET,ORIGINE,DCRET,DDEBACT,ACTIVNAT,LIEUACT,ACTISURF,SAISONAT,MODET,PRODET,PRODPART,AUXILT,NOMEN_LONG,SIGLE,NOM,PRENOM,CIVILITE,RNA,NICSIEGE,RPEN,DEPCOMEN,ADR_MAIL,NJ,APEN700,DAPEN,APRM,ESS,DATEESS,TEFEN,EFENCENT,DEFEN,CATEGORIE,DCREN,AMINTREN,MONOACT,MODEN,PRODEN,ESAANN,TCA,ESAAPEN,ESASEC1N,ESASEC2N,ESASEC3N,ESASEC4N,VMAJ,VMAJ1,VMAJ2,VMAJ3,DATEMAJ,longitude,latitude,geo_score,geo_type,geo_adresse,geo_id,geo_ligne
056502248,00810,SAMSE,,ZONE INDUSTRIELLE VAUGRIS CNR,333 CHEMIN DE HALAGE,,38121 REVENTIN VAUGRIS,FRANCE,SAMSE,,ZI VAUGRIS CNR,333 CHE DE HALAGE,,38121 REVENTIN VAUGRIS,,333,,CHE,DE HALAGE,38121,,38,336,14,0,,1,O,201209,,4673A,2008,12,20,2015,9,20020615,20020615,NR,99,,P,S,O,,0,SAMSE,,,,,,01131,84,38185,,5699,4673A,2008,,,,42,1400,2015,ETI,19000101,201209,2,S,O,2014,9,4673A,4673A,4752A,4674A,4672Z,,,,,2013-07-04T00:00:00,4.824068,45.486467,0.3,housenumber,333 Chemin de Rivière 38121 Reventin-Vaugris,ADRNIVX_0000000286481327,G
213803364,00016,COMMUNE DE REVENTIN VAUGRIS,MAIRIE,,RUE DE LA MAIRIE,,38121 REVENTIN VAUGRIS,FRANCE,COMMUNE DE REVENTIN VAUGRIS,MAIRIE,HOTEL DE VILLE,,,38121 REVENTIN VAUGRIS,,,,,,38121,,38,336,14,1,MAIRIE,1,O,201209,,8411Z,2008,12,20,2015,1,19830301,19830301,NR,99,,P,S,N,,0,COMMUNE DE REVENTIN VAUGRIS,,,,,,00016,84,38336,,7210,8411Z,2008,,,,12,20,2015,PME,19820101,201209,3,S,N,,,,,,,,,,,,1983-03-01T00:00:00,4.840943,45.467131,0.91,street,Rue de la Mairie 38121 Reventin-Vaugris,38336_0345_b4aaff,N
213803364,00024,COMMUNE DE REVENTIN VAUGRIS,ECOLE PRIMAIRE PUBLIQUE,LE VILLAGE,,,38121 REVENTIN VAUGRIS,FRANCE,COMMUNE DE REVENTIN VAUGRIS,ECOLE PRIMAIRE PUBLIQUE,,LE VILLAGE,,38121 REVENTIN VAUGRIS,,,,,LE VILLAGE,38121,,38,336,14,0,ECOLE PRIMAIRE PUBLIQUE,1,O,201209,,8520Z,2008,11,10,2015,1,19831221,19831221,NR,99,,P,S,N,,0,COMMUNE DE REVENTIN VAUGRIS,,,,,,00016,84,38336,,7210,8411Z,2008,,,,12,20,2015,PME,19820101,201209,3,S,N,,,,,,,,,,,,2007-10-13T00:00:00,4.844126,45.479523,0,municipality,,38336,
213803364,00032,COMMUNE DE REVENTIN VAUGRIS,ECOLE PRIMAIRE PUBLIQUE,,,,38121 REVENTIN VAUGRIS,FRANCE,COMMUNE DE REVENTIN VAUGRIS,ECOLE PRIMAIRE PUBLIQUE,,LA GARE,,38121 REVENTIN VAUGRIS,,,,,LA GARE,38121,,38,336,14,0,ECOLE PRIMAIRE PUBLIQUE,1,O,201209,,8520Z,2008,01,1,2012,1,19831221,19831221,NR,99,,P,S,N,,0,COMMUNE DE REVENTIN VAUGRIS,,,,,,00016,84,38336,,7210,8411Z,2008,,,,12,20,2015,PME,19820101,201209,3,S,N,,,,,,,,,,,,1983-12-21T00:00:00,4.844126,45.479523,0,municipality,,38336,
213803364,00040,COMMUNE DE REVENTIN VAUGRIS,ECOLE PRIMAIRE PUBLIQUE GARE,,,,38121 REVENTIN VAUGRIS,FRANCE,COMMUNE DE REVENTIN VAUGRIS,ECOLE PRIMAIRE PUBLIQUE GARE,,,,38121 REVENTIN VAUGRIS,,,,,,38121,,38,336,14,0,ECOLE PRIMAIRE PUBLIQUE GARE,1,O,201209,,8520Z,2008,00,0,2013,1,19820101,19820101,NR,99,,P,S,N,,0,COMMUNE DE REVENTIN VAUGRIS,,,,,,00016,84,38336,,7210,8411Z,2008,,,,12,20,2015,PME,19820101,201209,3,S,N,,,,,,,,,,,,2007-10-13T00:00:00,4.844126,45.479523,0,municipality,,38336,
253804108,00020,SM STATION EPURATION AGGLO VIENNOISE,,,281 ROUTE DU BARRAGE,,38121 REVENTIN VAUGRIS,FRANCE,SM STATION EPURATION AGGLO VIENNOISE,,,281 RTE DU BARRAGE,,38121 REVENTIN VAUGRIS,,281,,RTE,DU BARRAGE,38121,,38,336,14,1,,1,O,201209,,3700Z,2008,00,0,2015,NR,20070309,20070309,,,,P,S,O,,0,SYNDICAT MIXTE POUR L'EXPLOITATION DE LA STATION D'EPURATION DE L'AGGLOMERATION VIENNOISE,SYSTEPUR,,,,,00020,84,38336,,7354,3700Z,2008,,,,00,0,2015,PME,19940908,201209,1,S,O,,,,,,,,,,,,2009-02-08T00:00:00,4.825241,45.489236,0.73,housenumber,281 Route du Barrage 38121 Reventin-Vaugris,ADRNIVX_0000000286480704,G
263804858,00011,CENTRE COMMUNAL D ACTION SOCIALE,CCAS,,RUE DE LA MAIRIE,,38121 REVENTIN VAUGRIS,FRANCE,CENTRE COMMUNAL D'ACTION SOCIALE,CCAS,MAIRIE,,,38121 REVENTIN VAUGRIS,,,,,,38121,,38,336,14,1,CCAS,1,O,201209,,8899B,2008,00,0,2001,1,19940101,19940101,NR,99,,P,S,N,,0,CENTRE COMMUNAL D'ACTION SOCIALE,CCAS,,,,,00011,84,38336,,7361,8899B,2008,,,,00,0,2001,,19940101,201209,1,S,N,,,,,,,,,,,,1995-03-08T00:00:00,4.840943,45.467131,0.91,street,Rue de la Mairie 38121 Reventin-Vaugris,38336_0345_b4aaff,N
303386817,00041,MONSIEUR MAGGIORINO BORGNA,,,RUE DU CURTIL,,38121 REVENTIN VAUGRIS,FRANCE,MONSIEUR MAGGIORINO BORGNA,,,ZONE ARTISANALE LD LE CURT,,38121 REVENTIN VAUGRIS,,,,,ZONE ARTISANALE LD LE CURT,38121,,38,336,14,1,,1,O,201209,3,2920Z,2008,01,1,2014,9,19901001,19901001,NR,99,,P,S,O,,0,BORGNA*MAGGIORINO/,,BORGNA,MAGGIORINO,1,,00041,84,38336,,,2920Z,2008,2920ZC,,,01,1,2014,PME,19830401,201209,1,S,O,,,,,,,,,,,,2007-01-02T00:00:00,4.844152,45.457978,0.4,locality,"Zone Artisanale du Curtil, ZA DU CURTIL 38121 Reventin-Vaugris",38336_XXXX_ba3b96,G
306315177,00023,LE GRATON LYONNAIS,,ZONE ARTISANALE LE CURTIL,RUE DU CURTIL,,38121 REVENTIN VAUGRIS,FRANCE,LE GRATON LYONNAIS,,ZA LE CURTIL,ZONE ARTISANALE  LE CURTIL,,38121 REVENTIN VAUGRIS,,,,,ZONE ARTISANALE  LE CURTIL,38121,,38,336,14,1,,1,O,201209,,1013A,2008,12,20,2015,1,19870730,19870730,NR,99,,P,S,O,,0,LE GRATON LYONNAIS,,,,,,00023,84,38336,,5710,1013A,2008,,,,12,20,2015,PME,19760101,201209,1,S,O,,,,,,,,,,,,2012-07-07T00:00:00,4.844152,45.457978,0.48,locality,"Zone Artisanale du Curtil, ZA DU CURTIL 38121 Reventin-Vaugris",38336_XXXX_ba3b96,G
307221507,00063,CTRE FORMATION TECHNIQUE INDUS CONTINU,,,ROUTE DU BARRAGE,,38121 REVENTIN VAUGRIS,FRANCE,CTRE FORMATION TECHNIQUE INDUS CONTINU,,,RTE DU BARRAGE,,38121 REVENTIN VAUGRIS,,,,RTE,DU BARRAGE,38121,,38,336,14,0,,1,O,201209,,8559A,2008,00,NN,2007,1,20070410,20070410,,,,P,S,N,,0,CTRE FORMATION TECHNIQUE INDUS CONTINUE,CEFTIC,,,,W262001161,00055,84,26235,,9220,8559A,2008,,O,20160101,11,10,2015,PME,19000101,201209,1,S,O,,,,,,,,,,,,2007-05-23T00:00:00,4.827094,45.491541,0.68,street,Route du Barrage 38121 Reventin-Vaugris,38336_XXXX_1556b6,G
